
 Lista de Imóveis da Caixa;;Data de geração:;21/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444400713503 ;RJ ;ARARUAMA ;COQUEIRAL ;AVENIDA AVENIDA DOM PLACIDO, N. 100, LOTE N° 972, QUADRA N° 04 ;151.343,93;260.906,64;42.00;Casa, 0.00 de área total, 81.92 de área privativa, 504.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400713503
 1444402625865 ;RJ ;ARARUAMA ;COQUEIRAL ;RUA N SRA DE FATIMA, N. 113, CS 105, QD 67,  TERRENO 1649 ;81.726,09;140.000,00;41.63;Casa, 0.00 de área total, 80.32 de área privativa, 116.58 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402625865
 1444416166337 ;RJ ;ARARUAMA ;BOA PERNA ;RUA LUIZ SERGIO, N. 193, CS 103 ;139.715,22;237.000,00;41.05;Casa, 0.00 de área total, 72.40 de área privativa, 135.89 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416166337
 8444409862615 ;RJ ;ARARUAMA ;LAGOINHA ;RUA AMETISTA, N. 15, RUA G ;102.814,76;174.000,00;40.92;Casa, 0.00 de área total, 98.00 de área privativa, 500.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409862615
 1444417556201 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERAS, N. 1071, Apto 202, . ;132.147,42;221.000,00;40.21;Apartamento, 0.00 de área total, 54.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417556201
 8444406056502 ;RJ ;ARARUAMA ;HAWAY ;RUA CRISTINA DA MATTA TEIXEIRA, N. 345, Apto 208, QD 15 ;74.182,12;124.000,00;40.18;Apartamento, 0.00 de área total, 59.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406056502
 1444401548484 ;RJ ;ARARUAMA ;CENTRO MORRO GRANDE ;RUA QUATRO, N. 81, . ;108.991,74;181.000,00;39.79;Casa, 0.00 de área total, 58.58 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401548484
 8444402030398 ;RJ ;ARARUAMA ;MONTEIRO ;ESTRADA SAO DE VICENTE, N. SN, CS 19 ;132.970,97;220.000,00;39.56;Casa, 0.00 de área total, 49.23 de área privativa, 58.46 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402030398
 8444402061935 ;RJ ;ARARUAMA ;JARDIM SAO PAULO ;RUA PRESIDENTE WASHINGTON LUIZ, N. 393, CS 101, LT 07, QD 09 ;88.518,56;145.000,00;38.96;Casa, 0.00 de área total, 74.10 de área privativa, 225.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402061935
 1444404796446 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA OSVALDO CRUZ, N. 0, QD H-1 LT 01 ;151.428,63;248.000,00;38.95;Terreno, 0.00 de área total, 0.00 de área privativa, 965.82 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404796446
 8444416132899 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA SAO PAULO, N. 41, LT 16 ;104.375,14;169.000,00;38.24;Casa, 0.00 de área total, 94.74 de área privativa, 336.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416132899
 1444406847900 ;RJ ;ARARUAMA ;BOA PERNA ;RUA MASCARENHAS DE MORAIS, N. 305, Apto 104, LT 14 QD C ;101.904,73;165.000,00;38.24;Apartamento, 0.00 de área total, 59.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406847900
 1555520973423 ;RJ ;ARARUAMA ;PARQUE HOTEL ;RUA DR JOSE MARCOS DA SILVA, N. 40, Apto 202, BL B ;104.992,75;170.000,00;38.24;Apartamento, 0.00 de área total, 0.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520973423
 1444417358426 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERA, N. 1071, 102 LT 20 QD K ;154.391,46;248.464,88;37.87;Casa, 0.00 de área total, 54.87 de área privativa, 496.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417358426
 1444417842522 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA DOS COLIBRIS, N. 446, LT 19 QD 25 ;124.763,11;198.218,13;37.06;Casa, 0.00 de área total, 79.13 de área privativa, 450.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417842522
 1444409945113 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RODOVIA AMARAL PEIXOTO ANTIGA RUA SEM DENOMINACAO, N. 82784, Apto 202, LT 02, QD C ;144.767,36;230.000,00;37.06;Apartamento, 0.00 de área total, 75.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409945113
 1444414820951 ;RJ ;ARARUAMA ;VILA CANAA ;RUA B, N. 16, . ;143.508,51;228.000,00;37.06;Casa, 0.00 de área total, 70.00 de área privativa, 128.42 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414820951
 1444416609760 ;RJ ;ARARUAMA ;BALNEARIO PRAIA SECA ;AVENIDA I COLOMBO, N. 581, LT 02, QD 12, ZONA 03 ;249.189,89;391.000,00;36.27;Casa, 0.00 de área total, 140.00 de área privativa, 600.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416609760
 1444416977521 ;RJ ;ARARUAMA ;NOVO HORIZONTE IGUAB ;RUA ARAGARCAS, N. 24, Apto 203, LT 18 QD 03 ;191.194,29;300.000,00;36.27;Apartamento, 0.00 de área total, 72.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416977521
